Title,Album,Artist,Duration (ms),Rating,Play Count,Playlist,spotify_id
Can't Let You Go ,Street Dreams (Bonus Track),Fabolous,223000,0,7,Old ✌️,
One In A Million,"The Best Wedding Reception Music, Vol. 1",Aaliyah,269000,0,33,Old ✌️,
Can't Let Go ,Ain&#39;t Nobody Worryin&#39;,Anthony Hamilton,232000,0,79,Old ✌️,
Colors and Shapes,Faces,Mac Miller,329134,0,31,⛄,
Madness,Jedi Night,Jordyn Edmonds,136000,0,10,⛄,
Soulful Morning,Jedi Night,Jordyn Edmonds,150000,0,6,⛄,
The Best Is Yet To Come  ,Nothing But The Best (Remastered),Frank Sinatra with Count Basie And His Orchestra,175000,0,1,Funky Old People,
Don't Bring Me Down,Discovery,Electric Light Orchestra,243000,0,5,Funky Old People,
Don't Waste My Time,Don&#39;t Waste My Time,Zilo,245000,0,16,✌️,
Don't Choose,Morning After,dvsn,221000,0,31,✌️,
,Swimming,Mac Miller,348000,0,160,✌️,
There Will Be Tears,"nostalgia,ULTRA",Frank Ocean,194586,0,40,✌️,
Boo'd Up,READY,Ella Mai,256000,0,61,✌️,
First Fuck,First Fuck,6LACK & Jhené Aiko,205000,0,17,✌️,
Don't,T R A P S O U L,Bryson Tiller,198000,0,30,✌️,
Don't Let Me Down ,Don&#39;t Let Me Down / All To You,Sabrina Claudio,176000,0,23,✌️,
Don't Call Me ,Lune Rouge,TOKiMONSTA,217000,0,17,⚡ smooth,
Don't Do It,Unusual,Marian Hill,191000,0,5,⚡ smooth,
Feel Good ,Awake,Illenium,248000,0,41,Hard,
Tremor ,Gold Skies,Martin Garrix,294000,0,12,Hard,
Can't Feel My Face ,Can&#39;t Feel My Face (Martin Garrix Remix),The Weeknd,252000,0,6,Hard,
,1950,King Princess,225000,0,10,Junkyard 2,
I'm in Love Without You,I&#39;m in Love Without You,FINNEAS,201000,0,4,Junkyard 2,
I'll Come Too,Assume Form,James Blake,222000,0,9,Junkyard 2,
I'm Into You,Thinking In Textures,Chet Faker,263000,0,13,Junkyard 2,
,Room For Squares,John Mayer,290000,0,34,JM and Friends,
I'm Gonna Find Another You ,Where The Light Is: John Mayer Live In Los Angeles,John Mayer,340000,0,42,JM and Friends,
I'm Gonna Find Another You,Continuum,John Mayer,163000,0,14,JM and Friends,
Can't Take My Eyes Off You,Can&#39;t Take My Eyes Off You,Joseph Vincent,163000,0,22,JM and Friends,
Shouldn't Couldn't Wouldn't ,NIKI Acoustic Sessions: Head In The Clouds II,NIKI,162000,0,5,JM and Friends,
Number 16  ,Taylor Allderdice,Wiz Khalifa,184262,0,12,Throw it back (hood),
Slow Jamz,The College Dropout,Kanye West,316000,0,21,Throw it back (hood),
I'm The Man ,I&#39;m The Man,50 Cent,235000,0,2,Throw it back (hood),
Peaches & Cream,Part III,,193000,0,1,Throw it back (hood),
T.A.P. ft. Juicy J  ,Taylor Allderdice,Wiz Khalifa,262262,0,13,Throw it back (hood),
The Cruise  ,Taylor Allderdice,Wiz Khalifa,254930,0,9,Throw it back (hood),
Amber Ice  ,Taylor Allderdice,Wiz Khalifa,163046,0,22,Throw it back (hood),
I'm The Man  ,I&#39;m The Man (Remix),50 Cent,235000,0,21,Throw it back (hood),
Mia Wallace  ,Taylor Allderdice,Wiz Khalifa,178568,0,76,Throw it back (hood),
Best Friend,King Me 3,King Colee,205000,0,0,Throw it back (hood),
Bad Boy for Life,The Saga Continues...,P. Diddy,253000,0,9,Throw it back (hood),
Too Fake,Finally Famous 3,Big Sean,259792,0,7,Throw it back (hood),
Can't Get Enough ,Cole World: The Sideline Story,J. Cole,226000,0,8,Throw it back (hood),
Guilty Conscience  ,Taylor Allderdice,Wiz Khalifa,227396,0,19,Throw it back (hood),
The Grinder  ,Taylor Allderdice,Wiz Khalifa,145808,0,17,Throw it back (hood),
Goldeneye,"nostalgia,ULTRA",Frank Ocean,18285,0,5,Frank,
Songs for Women,"nostalgia,ULTRA",Frank Ocean,253231,0,7,Frank,
Strawberry Swing,"nostalgia,ULTRA",Frank Ocean,235389,0,14,Frank,
Lovecrimes,"nostalgia,ULTRA",Frank Ocean,240195,0,7,Frank,
American Wedding,"nostalgia,ULTRA",Frank Ocean,420858,0,6,Frank,
Soul Calibur,"nostalgia,ULTRA",Frank Ocean,18416,0,2,Frank,
We All Try,"nostalgia,ULTRA",Frank Ocean,171859,0,9,Frank,
There Will Be Tears,"nostalgia,ULTRA",Frank Ocean,194586,0,40,Frank,
Dust,"nostalgia,ULTRA",Frank Ocean,153521,0,5,Frank,
Bitches Talkin',"nostalgia,ULTRA",Frank Ocean,22151,0,7,Frank,
Street Fighter,"nostalgia,ULTRA",Frank Ocean,22256,0,3,Frank,
You Are Not a Robot,Pep Rally,Hoodie Allen,206000,0,5,Frat Rap,
Yacht  [feat. Sik-K],Yacht (K) (feat. Sik-K),박재범 Jay Park,246000,0,16,🇰🇷🇰🇵,
미안해요 ,COMFORT,Gummy,236000,0,42,🇰🇷🇰🇵,
"눈, 코, 입 Eyes, Nose, Lips",RISE,태양,230000,0,33,🇰🇷🇰🇵,
거짓말,Always - 1st Mini Album,BIGBANG,229000,0,25,🇰🇷🇰🇵,
,wonderlust,Crush,143000,0,16,🇰🇷🇰🇵,
한강 ,HANGANG,Hoody,200000,0,7,🇰🇷🇰🇵,
FIRE WATER ,MUGGLES&#39; MANSION,코드 쿤스트 CODE KUNST,250000,0,11,🇰🇷🇰🇵,
춤 Dance,boy.,offonoff ,219000,0,18,🇰🇷🇰🇵,
바보,Hot Issue - 2nd Mini Album,BIGBANG,225000,0,36,🇰🇷🇰🇵,
