Title,Album,Artist,Duration (ms),Rating,Play Count,Playlist,spotify_id
Just a Friend,Just A Friend - EP,Biz Markie,238000,0,6,Old ✌️,spotify:track:3yNVfRQlUPViUh8O2V9SQn
Love,Aijuswanaseing,Musiq Soulchild,304000,0,91,Old ✌️,spotify:track:6uSa5iCMwPr10Ftpz8w09b
Love Like This ,Pocketful Of Sunshine,Natasha Bedingfield,222000,0,1,Old ✌️,spotify:track:49ppqF73rOz5Nyt1paRxIF
You Make Me Wanna...,My Way,Usher,219000,0,27,Old ✌️,spotify:track:47TqCCnEliDp8NRDyIQoQq
Miss Independent,Year Of The Gentleman,Ne-Yo,232000,0,35,Old ✌️,spotify:track:34ceTg8ChN5HjrqiIYCn9Q
Burn,Confessions (Special Edition),Usher,231000,0,2,Old ✌️,spotify:track:7z3N2W7Xz1t2G2sAO8wFVH
Over And Over ,Suit,Nelly,253000,0,6,Old ✌️,spotify:track:2b8QQqf8Vwb7bfz22ja8Fk
We Belong Together,The Emancipation of Mimi,Mariah Carey,201000,0,53,Old ✌️,spotify:track:3LmvfNUQtglbTrydsdIqFU
So Into You,Tamia,Tamia,261000,0,38,Old ✌️,spotify:track:3c6afiysmB7OnxQzzSqRfD
If I Ain't Got You,The Diary Of Alicia Keys,Alicia Keys,228000,0,129,Old ✌️,spotify:track:3XVBdLihbNbxUwZosxcGuJ
Bump n' Grind,12 Play,R. Kelly,256000,0,7,Old ✌️,spotify:track:0DBIL8arX0Zo6eAuxNIpik
teachme,Luvanmusiq,Musiq Soulchild,260000,0,5,Old ✌️,spotify:track:0ODFPypnJLE6hKgahiuSzn
So Anxious,100% Ginuwine,Ginuwine,276000,0,10,Old ✌️,spotify:track:2zbjlcLi1VQWqDNYdhyx1l
Charlene,Comin&#39; From Where I&#39;m From,Anthony Hamilton,246000,0,2,Old ✌️,spotify:track:0xiuSFBOEHWaJ6rSuUbJWc
Slow Motion,Juve The Great,Juvenile,248000,0,32,Old ✌️,spotify:track:6ihObRBTB8xdSH2mlERtOX
U Don't Have to Call,8701,Usher,269000,0,141,Old ✌️,spotify:track:5PCJldueshnwqQVjS16543
Be Without You ,The Breakthrough (Bonus Track),Mary J. Blige,246000,0,12,Old ✌️,spotify:track:2YegxR5As7BeQuVp2U6pek
Dilemma ,Nellyville,Nelly,289000,0,10,Old ✌️,spotify:track:0ARK753YaiJbpLUk7z5yIM
Mesmerize  ,The Last Temptation,Ja Rule,278000,0,8,Old ✌️,spotify:track:2iclfHORMqpR3TxuhwVRhD
Doo Wop  ,"R&amp;B - 100 Hits - The Greatest R n B album - 100 R &amp; B Classics featuring Usher, Pitbull and Justin Timberlake",Lauryn Hill,240000,0,20,Old ✌️,spotify:track:0uEp9E98JB5awlA084uaIg
Differences,The Life,Ginuwine,265000,0,41,Old ✌️,spotify:track:0Uyh92tLyb9JawG8lmWCzJ
7 Days,Born to Do It,Craig David,235000,0,18,Old ✌️,spotify:track:0gPQTLaqHDgdupKEok7J2x
Sexy Love,In My Own Words,Ne-Yo,220000,0,13,Old ✌️,spotify:track:10aWGOqSDBqvNzJ9NeKDbK
Fallin',Songs In A Minor (10th Anniversary Edition),Alicia Keys,210000,0,5,Old ✌️,spotify:track:3unsLiH5FXmaDWtT5Imolu
Mad,Year Of The Gentleman,Ne-Yo,254000,0,23,Old ✌️,spotify:track:6Hn9Uc1mMNfqChXU3txNke
Closer,Year Of The Gentleman,Ne-Yo,234000,0,11,Old ✌️,spotify:track:2XbfY2O2v3xwedUJ0J2kkr
Pony,Ginuwine... The Bachelor,Ginuwine,324000,0,11,Old ✌️,spotify:track:6mz1fBdKATx6qP4oP1I65G
Just Friends ,Aijuswanaseing,Musiq Soulchild,251000,0,330,Old ✌️,spotify:track:5jgEJXjECdlhzNgfITSTVm
